,Name,Author,User Rating,Reviews,Price,Year,Genre,Quantity
107,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2013,Fiction,6
108,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,32,2012,Fiction,3
109,Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,13677,6,2018,Non Fiction,3
110,First 100 Words,Roger Priddy,4.7,17323,4,2014,Non Fiction,4
111,First 100 Words,Roger Priddy,4.7,17323,4,2015,Non Fiction,7
112,First 100 Words,Roger Priddy,4.7,17323,4,2016,Non Fiction,3
113,First 100 Words,Roger Priddy,4.7,17323,4,2017,Non Fiction,5
114,First 100 Words,Roger Priddy,4.7,17323,4,2018,Non Fiction,3
115,Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,9,2010,Non Fiction,8
116,Frozen (Little Golden Book),RH Disney,4.7,3642,0,2014,Fiction,4
117,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215,9,2010,Non Fiction,4
118,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2011,Fiction,3
119,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2012,Fiction,6
120,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2013,Fiction,6
121,George Washington's Sacred Fire,Peter A. Lillback,4.5,408,20,2010,Non Fiction,6
122,George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,16,2013,Non Fiction,8
123,Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2015,Fiction,9
124,Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2016,Fiction,6
125,Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2017,Fiction,4
126,Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2018,Fiction,7
127,Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2019,Fiction,8
128,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,7660,12,2019,Non Fiction,8
129,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2018,Non Fiction,1
130,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2019,Non Fiction,6
131,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1365,11,2009,Non Fiction,5
132,Go Set a Watchman: A Novel,Harper Lee,3.6,14982,19,2015,Fiction,8
133,Go the F**k to Sleep,Adam Mansbach,4.8,9568,9,2011,Fiction,7
134,Going Rogue: An American Life,Sarah Palin,4.6,1636,6,2009,Non Fiction,9
135,Gone Girl,Gillian Flynn,4.0,57271,10,2012,Fiction,6
136,Gone Girl,Gillian Flynn,4.0,57271,10,2013,Fiction,9
137,Gone Girl,Gillian Flynn,4.0,57271,9,2014,Fiction,2
138,Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141,6,2019,Non Fiction,1
139,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2009,Non Fiction,9
140,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2010,Non Fiction,9
141,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2011,Non Fiction,7
142,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2012,Non Fiction,5
143,Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2017,Fiction,7
144,Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2018,Fiction,9
145,Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2019,Fiction,8
146,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2012,Fiction,6
147,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7,2013,Fiction,9
148,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,5972,10,2014,Non Fiction,9
149,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,25624,14,2015,Fiction,4
150,Guts,Raina Telgemeier,4.8,5476,7,2019,Non Fiction,7
151,Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,54,2016,Non Fiction,1
152,"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148,11,2013,Non Fiction,6
153,"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622,30,2016,Fiction,7
154,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4.0,23973,12,2016,Fiction,8
155,"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,7758,18,2019,Fiction,6
156,"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146,30,2017,Fiction,1
157,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052,22,2016,Fiction,3
158,Harry Potter Coloring Book,Scholastic,4.7,3564,9,2015,Non Fiction,1
159,Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.8,13471,52,2016,Fiction,1
160,Have a Little Faith: A True Story,Mitch Albom,4.8,1930,4,2009,Non Fiction,4
161,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2011,Non Fiction,9
162,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2012,Non Fiction,4
163,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2016,Non Fiction,8
164,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,14,2017,Non Fiction,9
165,Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,3776,22,2018,Non Fiction,5
166,How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2014,Non Fiction,8
167,How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2015,Non Fiction,8
168,How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2016,Non Fiction,1
169,How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2017,Non Fiction,5
170,How to Win Friends & Influence People,Dale Carnegie,4.7,25001,11,2018,Non Fiction,6
171,Howard Stern Comes Again,Howard Stern,4.3,5272,16,2019,Non Fiction,4
172,Humans of New York,Brandon Stanton,4.8,3490,15,2013,Non Fiction,5
173,Humans of New York,Brandon Stanton,4.8,3490,15,2014,Non Fiction,4
174,Humans of New York : Stories,Brandon Stanton,4.9,2812,17,2015,Non Fiction,6
175,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,4896,17,2013,Non Fiction,5
176,"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,9737,7,2019,Non Fiction,8
177,"I, Alex Cross",James Patterson,4.6,1320,7,2009,Fiction,4
178,If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4,2017,Fiction,9
179,If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4,2019,Fiction,1
180,If I Stay,Gayle Forman,4.3,7153,9,2014,Fiction,2
181,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,4571,21,2011,Non Fiction,9
182,Inferno,Dan Brown,4.1,29651,14,2013,Fiction,2
183,Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,5299,20,2011,Fiction,1
184,Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,13,2019,Non Fiction,9
185,Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,13,2018,Non Fiction,8
186,It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,7062,12,2019,Non Fiction,5
187,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2011,Non Fiction,5
188,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2012,Non Fiction,3
189,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2013,Non Fiction,2
190,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2014,Non Fiction,3
191,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2015,Non Fiction,9
192,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2016,Non Fiction,4
193,JOURNEY TO THE ICE P,RH Disney,4.6,978,0,2014,Fiction,9
194,Joyland (Hard Case Crime),Stephen King,4.5,4748,12,2013,Fiction,3
195,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.6,8393,17,2017,Non Fiction,1
196,Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,12,2013,Non Fiction,5
197,Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634,25,2012,Non Fiction,1
198,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,2011,Non Fiction,8
199,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,2012,Non Fiction,9
200,Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,10927,6,2014,Non Fiction,3
201,Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,5235,5,2015,Non Fiction,4
202,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,8916,6,2016,Non Fiction,4
203,Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2507,8,2018,Non Fiction,5
204,Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2013,Non Fiction,3
205,Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2014,Non Fiction,3
206,Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,4,2015,Non Fiction,4
207,"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,4.9,11881,13,2018,Fiction,9
208,Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2013,Non Fiction,4
209,Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2014,Non Fiction,6
210,Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2015,Non Fiction,2
211,Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2016,Non Fiction,1
212,Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,4,2017,Non Fiction,1
213,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132,13,2013,Non Fiction,6
214,Leonardo da Vinci,Walter Isaacson,4.5,3014,21,2017,Non Fiction,1
215,Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,7550,6,2018,Non Fiction,3
216,Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828,15,2009,Non Fiction,8
217,Life,Keith Richards,4.5,2752,18,2010,Non Fiction,8
218,Little Bee: A Novel,Chris Cleave,4.1,1467,10,2010,Fiction,1
219,Little Blue Truck,Alice Schertle,4.9,1884,0,2014,Fiction,4
220,Little Fires Everywhere,Celeste Ng,4.5,25706,12,2018,Fiction,7
221,Looking for Alaska,John Green,4.5,8491,7,2014,Fiction,2
222,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,13,2011,Non Fiction,7
223,Love You Forever,Robert Munsch,4.8,18613,5,2014,Fiction,5
224,Love You Forever,Robert Munsch,4.8,18613,5,2015,Fiction,6
225,Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,9867,16,2018,Non Fiction,2
226,Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386,20,2014,Non Fiction,5
227,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,10199,11,2017,Non Fiction,4
228,"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2926,27,2009,Non Fiction,1
229,Milk and Honey,Rupi Kaur,4.7,17739,8,2016,Non Fiction,5
230,Milk and Honey,Rupi Kaur,4.7,17739,8,2017,Non Fiction,1
231,Milk and Honey,Rupi Kaur,4.7,17739,8,2018,Non Fiction,8
232,Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,3113,6,2017,Non Fiction,7
233,Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2014,Non Fiction,3
234,Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2015,Non Fiction,4
235,Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,2016,Non Fiction,7
236,Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2010,Fiction,3
237,Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2011,Fiction,3
238,Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2012,Fiction,1
239,"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,5347,16,2019,Non Fiction,9
240,National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,7866,11,2019,Non Fiction,9
241,New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680,10,2009,Fiction,2
242,Night (Night),Elie Wiesel,4.7,5178,9,2016,Non Fiction,3
243,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093,14,2012,Non Fiction,7
244,Obama: An Intimate Portrait,Pete Souza,4.9,3192,22,2017,Non Fiction,1
245,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2012,Fiction,9
246,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2013,Fiction,4
247,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2014,Fiction,3
248,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2015,Fiction,9
249,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2016,Fiction,3
250,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2017,Fiction,7
251,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2018,Fiction,4
252,"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2019,Fiction,9
253,Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,6169,7,2015,Fiction,9
254,Olive Kitteridge,Elizabeth Strout,4.2,4519,12,2009,Fiction,7
